,0
0,Colgate
1,Colorado
2,Boise State
3,San Jose State
4,Navy
5,Fresno State
6,Hawaii
7,Utah State
8,Army
9,Colorado State
10,New Mexico
11,Wyoming
12,Washington State
13,Illinois
14,UAB
15,Central Michigan
16,Troy
17,Massachusetts
18,Kent State
19,Buffalo
20,Northern Illinois
21,Bowling Green
22,Eastern Michigan
23,Miami (OH)
24,Ohio
25,Duke
26,New Mexico State
27,South Carolina
28,Southern Mississippi
29,Ole Miss
30,Texas A&M
31,Tennessee
32,Arkansas
33,LSU
34,Mississippi State
35,Western Carolina
36,Auburn
37,Michigan
38,East Tennessee State
39,Charlotte
40,North Carolina
41,Coastal Carolina
42,Louisiana
43,Louisiana-Monroe
44,South Alabama
45,Georgia Southern
46,South Carolina
47,Georgia State
48,Texas State
49,Troy
50,Louisiana
51,UAB
52,Hawaii
53,Northern Arizona
54,Texas Tech
55,UCLA
56,Colorado
57,Washington
58,USC
59,Stanford
60,Oregon State
61,Oregon
62,Utah
63,Arizona State
64,Kent State
65,Sacramento State
66,Michigan State
67,Colorado
68,California
69,Washington State
70,Utah
71,UCLA
72,USC
73,Oregon State
74,Oregon
75,Arizona
76,Florida State
77,Portland State
78,Ole Miss
79,Colorado State
80,San Jose State
81,Texas A&M
82,Kentucky
83,Auburn
84,Alabama
85,Mississippi State
86,Western Kentucky
87,LSU
88,Missouri
89,SMU
90,Nevada-Las Vegas
91,Georgia
92,Southern Illinois
93,Troy
94,Georgia State
95,Louisiana
96,Texas State
97,Louisiana-Monroe
98,Coastal Carolina
99,Georgia Southern
100,South Alabama
101,Florida International
102,Rice
103,Michigan
104,UTSA
105,Morgan State
106,Tulane
107,Western Kentucky
108,Georgia State
109,San Jose State
110,Air Force
111,Massachusetts
112,Virginia Military Institute
113,Hawaii
114,Navy
115,Oregon
116,Tulane
117,Kent State
118,Texas A&M
119,Mississippi State
120,Florida
121,Arkansas
122,LSU
123,Ole Miss
124,Georgia
125,Samford
126,Alabama
127,Minnesota
128,Indiana
129,Fordham
130,Florida Atlantic
131,North Carolina State
132,Northern Illinois
133,Eastern Michigan
134,Toledo
135,Ohio
136,Western Michigan
137,Central Michigan
138,Kent State
139,Miami (OH)
140,Stephen F. Austin
141,UTSA
142,Rice
143,Iowa State
144,Kansas State
145,Texas Tech
146,Oklahoma State
147,West Virginia
148,Texas Christian
149,Oklahoma
150,Texas
151,Kansas
152,Oklahoma
153,Georgia
154,Florida State
155,Marshall
156,Portland State
157,Air Force
158,Nevada-Las Vegas
159,Hawaii
160,BYU
161,San Jose State
162,Wyoming
163,New Mexico
164,Utah State
165,Colorado State
166,Hawaii
167,Washington
168,Virginia Tech
169,Richmond
170,Kansas
171,Rutgers
172,Wake Forest
173,Louisville
174,North Carolina State
175,Clemson
176,Syracuse
177,Florida State
178,Notre Dame
179,Pitt
180,Cincinnati
181,Morgan State
182,Kansas State
183,Louisiana Tech
184,Kent State
185,Notre Dame
186,Toledo
187,Central Michigan
188,Western Michigan
189,Akron
190,Miami (OH)
191,Ohio
192,Buffalo
193,Robert Morris
194,Penn State
195,Liberty
196,Temple
197,Miami (OH)
198,Ohio
199,Akron
200,Central Michigan
201,Eastern Michigan
202,Kent State
203,Toledo
204,Bowling Green
205,Charlotte
206,Utah
207,Tennessee
208,USC
209,Washington
210,Toledo
211,South Florida
212,Boise State
213,Utah State
214,Liberty
215,Idaho State
216,Massachusetts
217,San Diego State
218,Hawaii
219,California-Davis
220,Washington
221,North Texas
222,Ole Miss
223,Arizona State
224,Oregon
225,Oregon State
226,Utah
227,Washington State
228,USC
229,Stanford
230,UCLA
231,Illinois
232,Albany
233,Wisconsin
234,Akron
235,Miami (FL)
236,Western Michigan
237,Eastern Michigan
238,New Mexico State
239,Bowling Green
240,Buffalo
241,Northern Illinois
242,Ball State
243,Toledo
244,Miami (OH)
245,San Diego State
246,Gardner-Webb
247,Appalachian State
248,Massachusetts
249,Clemson
250,Florida Atlantic
251,Florida International
252,Western Kentucky
253,North Texas
254,Middle Tennessee State
255,UTEP
256,Marshall
257,Old Dominion
258,Buffalo
259,UCLA
260,Ohio State
261,Miami (OH)
262,Marshall
263,UCF
264,Houston
265,Tulsa
266,East Carolina
267,Connecticut
268,South Florida
269,Temple
270,Memphis
271,Memphis
272,Boston College
273,Georgia Tech
274,Texas A&M
275,Syracuse
276,Charlotte
277,North Carolina
278,Florida State
279,Louisville
280,Boston College
281,Wofford
282,North Carolina State
283,Wake Forest
284,South Carolina
285,Virginia
286,Ohio State
287,LSU
288,Eastern Michigan
289,Kansas
290,Norfolk State
291,Massachusetts
292,Appalachian State
293,Georgia State
294,Georgia Southern
295,Troy
296,Louisiana
297,Arkansas State
298,Louisiana-Monroe
299,Texas State
300,Colorado State
301,Nebraska
302,Air Force
303,Arizona State
304,Arizona
305,Oregon
306,Washington State
307,USC
308,UCLA
309,Stanford
310,Washington
311,Utah
312,Colorado
313,Western Illinois
314,Arkansas
315,Toledo
316,Utah State
317,San Diego State
318,New Mexico
319,Fresno State
320,Nevada-Las Vegas
321,Air Force
322,Wyoming
323,Boise State
324,Wagner
325,Illinois
326,Indiana
327,UCF
328,South Florida
329,Tulane
330,Houston
331,Massachusetts
332,Navy
333,Cincinnati
334,East Carolina
335,Temple
336,Alabama
337,North Carolina A&T
338,Middle Tennessee State
339,Virginia Tech
340,Pitt
341,Georgia Tech
342,Virginia
343,North Carolina
344,Notre Dame
345,Syracuse
346,Wake Forest
347,Miami (FL)
348,North Carolina State
349,Gardner-Webb
350,Navy
351,William & Mary
352,Old Dominion
353,Temple
354,UCF
355,South Florida
356,Cincinnati
357,SMU
358,Connecticut
359,Tulsa
360,Coastal Carolina
361,Kentucky
362,Illinois
363,Central Connecticut State
364,Central Michigan
365,Ball State
366,Western Michigan
367,Toledo
368,Buffalo
369,Akron
370,Northern Illinois
371,Kent State
372,Pitt
373,Miami (FL)
374,Tennessee-Martin
375,Kentucky
376,Tennessee
377,Towson
378,Auburn
379,LSU
380,South Carolina
381,Georgia
382,Vanderbilt
383,Missouri
384,Florida State
385,Virginia
386,Ohio State
387,UCF
388,Ball State
389,Wagner
390,Charlotte
391,Middle Tennessee State
392,Marshall
393,Old Dominion
394,Western Kentucky
395,Florida International
396,UTSA
397,Southern Mississippi
398,UAB
399,SMU
400,Tulane
401,Western Kentucky
402,New Hampshire
403,Louisiana Tech
404,Massachusetts
405,Charlotte
406,UTEP
407,Middle Tennessee State
408,Old Dominion
409,Florida Atlantic
410,Miami (FL)
411,Marshall
412,Arkansas State
413,Boise State
414,Louisiana-Monroe
415,Virginia
416,Louisville
417,North Carolina State
418,Clemson
419,Wake Forest
420,Syracuse
421,Miami (FL)
422,Boston College
423,Alabama State
424,Florida
425,Arizona State
426,USC
427,Minnesota
428,Sacramento State
429,New Mexico State
430,Air Force
431,Nevada-Las Vegas
432,Colorado State
433,Hawaii
434,Utah State
435,San Diego State
436,Nevada
437,San Jose State
438,Vanderbilt
439,Murray State
440,Arkansas State
441,Notre Dame
442,Tennessee
443,South Carolina
444,Kentucky
445,Florida
446,Missouri
447,Auburn
448,Texas A&M
449,Georgia Tech
450,LSU
451,Baylor
452,LSU
453,Maine
454,Minnesota
455,Louisiana
456,South Alabama
457,Coastal Carolina
458,New Mexico State
459,Appalachian State
460,Troy
461,Louisiana-Monroe
462,Arkansas State
463,Georgia State
464,Liberty
465,Tennessee
466,Furman
467,Western Michigan
468,Texas State
469,Arkansas State
470,Coastal Carolina
471,Army
472,Troy
473,Louisiana-Monroe
474,Appalachian State
475,South Alabama
476,Georgia Southern
477,Wyoming
478,Clemson
479,South Florida
480,The Citadel
481,Temple
482,North Carolina
483,Duke
484,Miami (FL)
485,Pitt
486,Virginia
487,Virginia Tech
488,North Carolina State
489,Georgia
490,Arizona
491,Oregon State
492,Washington
493,Central Arkansas
494,Nevada
495,Boise State
496,Air Force
497,New Mexico
498,Fresno State
499,San Jose State
500,Nevada-Las Vegas
501,San Diego State
502,Army
503,Boise State
504,BYU
505,Oklahoma
506,Prairie View A&M
507,Washington State
508,Tulane
509,North Texas
510,Cincinnati
511,Connecticut
512,SMU
513,UCF
514,Memphis
515,Tulsa
516,Navy
517,Akron
518,Connecticut
519,Eastern Michigan
520,Nebraska
521,Minnesota
522,Michigan
523,Wisconsin
524,Purdue
525,Rutgers
526,Michigan State
527,Iowa
528,Northwestern
529,California
530,Ball State
531,Eastern Illinois
532,Ohio State
533,Connecticut
534,Michigan State
535,Rutgers
536,Maryland
537,Nebraska
538,Northwestern
539,Penn State
540,Michigan
541,Purdue
542,Tennessee
543,Miami (OH)
544,Rutgers
545,Iowa State
546,Middle Tennessee State
547,Michigan
548,Penn State
549,Purdue
550,Northwestern
551,Wisconsin
552,Minnesota
553,Illinois
554,Nebraska
555,USC
556,Northern Iowa
557,Iowa
558,Louisiana-Monroe
559,Baylor
560,Texas Christian
561,West Virginia
562,Texas Tech
563,Oklahoma State
564,Oklahoma
565,Texas
566,Kansas
567,Kansas State
568,Notre Dame
569,Indiana State
570,Coastal Carolina
571,Boston College
572,West Virginia
573,Texas Christian
574,Oklahoma
575,Texas
576,Texas Tech
577,Kansas State
578,Oklahoma State
579,Iowa State
580,Baylor
581,Nicholls State
582,Bowling Green
583,Mississippi State
584,Oklahoma State
585,Baylor
586,Texas Christian
587,Oklahoma
588,Kansas
589,Texas
590,West Virginia
591,Texas Tech
592,Iowa State
593,Navy
594,Arizona State
595,Kennesaw State
596,Auburn
597,Bowling Green
598,Wisconsin
599,Akron
600,Ohio
601,Miami (OH)
602,Toledo
603,Buffalo
604,Ball State
605,Eastern Michigan
606,Utah State
607,Toledo
608,Eastern Michigan
609,Florida
610,Mississippi State
611,South Carolina
612,Arkansas
613,Georgia
614,Missouri
615,Tennessee
616,Vanderbilt
617,Tennessee-Martin
618,Louisville
619,Virginia Tech
620,Syracuse
621,Louisiana
622,Buffalo
623,Hampton
624,New Mexico
625,New Mexico State
626,Maine
627,Rutgers
628,Massachusetts
629,BYU
630,Virginia
631,New Mexico State
632,Georgia Southern
633,Mississippi State
634,Liberty
635,Texas Southern
636,Ohio
637,Georgia Southern
638,Appalachian State
639,Arkansas State
640,Texas State
641,Coastal Carolina
642,South Alabama
643,Troy
644,Louisiana-Monroe
645,Appalachian State
646,Miami (OH)
647,Texas
648,Grambling State
649,Bowling Green
650,Florida International
651,Rice
652,Massachusetts
653,Southern Mississippi
654,UTEP
655,North Texas
656,Marshall
657,UAB
658,UTSA
659,Miami (FL)
660,Grambling State
